ts	iface	rx_bytes	tx_bytes
1787883635.005646031	s7-eth4	340518	328855
1787883635.005646031	s8-eth1	328855	328855
1787883635.005646031	s8-eth2	326013	328855
1787883635.005646031	s8-eth3	328855	326216
1787883635.005646031	s8-eth4	340616	328855
1787883635.005646031	s9-eth1	28819703924	51695313
1787883635.005646031	s9-eth2	356732448	328855
1787883635.005646031	s9-eth3	51699865	28206747093
1787883635.005646031	s9-eth4	326216	328855
1787883641.023695230	s10-eth1	326243	340644
1787883641.023695230	s10-eth2	328882	340769
1787883641.023695230	s10-eth3	328882	340546
1787883641.023695230	s10-eth4	328882	340644
1787883641.023695230	s1-eth1	56274376	37897658834
1787883641.023695230	s1-eth10	59990179	1069639
1787883641.023695230	s1-eth11	3536950358	575578
1787883641.023695230	s1-eth12	273630207	712999
1787883641.023695230	s1-eth13	32263380	291622
1787883641.023695230	s1-eth14	286050516	953997
1787883641.023695230	s1-eth15	2482020549	2383363
1787883641.023695230	s1-eth16	398011456	2838894
1787883641.023695230	s1-eth17	157516563	2443991
1787883641.023695230	s1-eth18	218881062	13374
1787883641.023695230	s1-eth19	11021471992	951178
1787883641.023695230	s1-eth2	328952	741028221
1787883641.023695230	s1-eth20	361408621	1718654
1787883641.023695230	s1-eth21	438727360	3168393
1787883641.023695230	s1-eth22	95067445	1162486
1787883641.023695230	s1-eth23	2599995532	1340156
1787883641.023695230	s1-eth24	304136631	1129890
1787883641.023695230	s1-eth25	233511141	3338885
1787883641.023695230	s1-eth26	373337208	2058059
1787883641.023695230	s1-eth27	2696203933	2046723
1787883641.023695230	s1-eth28	140313980	2170075
1787883641.023695230	s1-eth29	68933701	1126957
1787883641.023695230	s1-eth3	11494259150	5398302
1787883641.023695230	s1-eth30	92546709	1435430
1787883641.023695230	s1-eth31	2546629004	719661
1787883641.023695230	s1-eth32	356884163	1877660
1787883641.023695230	s1-eth33	163570714	2480508
1787883641.023695230	s1-eth34	107448601	1618049
1787883641.023695230	s1-eth4	319365135	1456498
1787883641.023695230	s1-eth5	328675673	1653647
1787883641.023695230	s1-eth6	331853306	1777145
1787883641.023695230	s1-eth7	2702084191	2673828
1787883641.023695230	s1-eth8	356391073	2008374
1787883641.023695230	s1-eth9	121900491	1717264
1787883641.023695230	s2-eth1	17584737966	12210952695
1787883641.023695230	s2-eth10	291091109	1001837
1787883641.023695230	s2-eth11	3592586219	2630476
1787883641.023695230	s2-eth12	60617090	1073903
1787883641.023695230	s2-eth13	88399371	1156631
1787883641.023695230	s2-eth14	68585079	909927
1787883641.023695230	s2-eth15	2437743580	2006713
1787883641.023695230	s2-eth16	374887300	2232042
1787883641.023695230	s2-eth17	362388078	2122637
1787883641.023695230	s2-eth18	248788387	545334
1787883641.023695230	s2-eth19	943754	8406702389
1787883641.023695230	s2-eth2	203029282	328882
1787883641.023695230	s2-eth20	1712234	198701421
1787883641.023695230	s2-eth21	3161818	268425274
1787883641.023695230	s2-eth22	1155040	79628867
1787883641.023695230	s2-eth23	1332060	2331292493
1787883641.023695230	s2-eth24	1122029	134702630
1787883641.023695230	s2-eth25	3333388	215150806
1787883641.023695230	s2-eth26	2050782	202385535
1787883641.023695230	s2-eth27	2038457	2425580615
1787883641.023695230	s2-eth28	2163762	133532530
1787883641.023695230	s2-eth29	1118908	66482452
1787883641.023695230	s2-eth3	1549169285	839387
1787883641.023695230	s2-eth30	1427897	88521408
1787883641.023695230	s2-eth31	711887	2280118679
1787883641.023695230	s2-eth32	1869414	194886839
1787883641.023695230	s2-eth33	2476400	156934789
1787883641.023695230	s2-eth34	1610667	90159031
1787883641.023695230	s2-eth4	266867004	594971
1787883641.023695230	s2-eth5	432472342	3173326
1787883641.023695230	s2-eth6	377976195	2270965
1787883641.023695230	s2-eth7	2604179570	905227
1787883641.023695230	s2-eth8	296080009	1074834
1787883641.023695230	s2-eth9	304364878	1111578
1787883641.023695230	s3-eth1	17223085693	13040066698
1787883641.023695230	s3-eth10	1064032	56555514
1787883641.023695230	s3-eth11	569954	2353028655
1787883641.023695230	s3-eth12	704215	87830439
1787883641.023695230	s3-eth13	282799	17392742
1787883641.023695230	s3-eth14	945952	98112439
1787883641.023695230	s3-eth15	2377912	2187377677
1787883641.023695230	s3-eth16	2834288	202582223
1787883641.023695230	s3-eth17	2442864	137392634
1787883641.023695230	s3-eth18	4572	47644697
1787883641.023695230	s3-eth19	1557550936	863256
1787883641.023695230	s3-eth2	328882	328882
1787883641.023695230	s3-eth20	405363506	2317159
1787883641.023695230	s3-eth21	270269288	539330
1787883641.023695230	s3-eth22	361345624	1821767
1787883641.023695230	s3-eth23	2665400025	1649144
1787883641.023695230	s3-eth24	363181229	1925293
1787883641.023695230	s3-eth25	401511469	2284545
1787883641.023695230	s3-eth26	294234363	819537
1787883641.023695230	s3-eth27	3653660809	2018443
1787883641.023695230	s3-eth28	260928103	3352437
1787883641.023695230	s3-eth29	183239937	2151139
1787883641.023695230	s3-eth3	5393074	8655026210
1787883641.023695230	s3-eth30	241185674	3329619
1787883641.023695230	s3-eth31	2609184675	1526698
1787883641.023695230	s3-eth32	162797008	2201571
1787883641.023695230	s3-eth33	138615687	1664215
1787883641.023695230	s3-eth34	48326776	537880
1787883641.023695230	s3-eth4	1449923	134548160
1787883641.023695230	s3-eth5	1647204	142694381
1787883641.023695230	s3-eth6	1771982	142824592
1787883641.023695230	s3-eth7	2670952	2350019437
1787883641.023695230	s3-eth8	2002719	169818819
1787883641.023695230	s3-eth9	1711024	104126086
1787883641.023695230	s4-eth1	22022498970	52942578
1787883641.023695230	s4-eth10	994626	112155233
1787883641.023695230	s4-eth11	2627846	2700701877
1787883641.023695230	s4-eth12	1070601	58694915
1787883641.023695230	s4-eth13	1156872	74951174
1787883641.023695230	s4-eth14	908451	53388282
1787883641.023695230	s4-eth15	2007337	2290255911
1787883641.023695230	s4-eth16	2240891	192201822
1787883641.023695230	s4-eth17	2124333	179570104
1787883641.023695230	s4-eth18	536711	80228111
1787883641.023695230	s4-eth19	854718	973021313
1787883641.023695230	s4-eth2	328882	326040
1787883641.023695230	s4-eth20	2331696	291470847
1787883641.023695230	s4-eth21	546752	158982302
1787883641.023695230	s4-eth22	1818077	247817400
1787883641.023695230	s4-eth23	1656276	2596858780
1787883641.023695230	s4-eth24	1931047	257928961
1787883641.023695230	s4-eth25	2285799	285753451
1787883641.023695230	s4-eth26	813333	179424507
1787883641.023695230	s4-eth27	2028995	3015875748
1787883641.023695230	s4-eth28	3361554	246529400
1787883641.023695230	s4-eth29	2158359	170798174
1787883641.023695230	s4-eth3	832009	709426164
1787883641.023695230	s4-eth30	3346036	225826220
1787883641.023695230	s4-eth31	1538815	2558966052
1787883641.023695230	s4-eth32	2205196	149436644
1787883641.023695230	s4-eth33	1662105	127432971
1787883641.023695230	s4-eth34	529892	38543083
1787883641.023695230	s4-eth4	587134	89619478
1787883641.023695230	s4-eth5	3177797	250377264
1787883641.023695230	s4-eth6	2274812	197992934
1787883641.023695230	s4-eth7	904995	2449342046
1787883641.023695230	s4-eth8	1075549	116759617
1787883641.023695230	s4-eth9	1109448	124498251
1787883641.023695230	s5-eth1	37900223767	56280374
1787883641.023695230	s5-eth2	12210954158	17584739512
1787883641.023695230	s5-eth3	51701192	28836292097
1787883641.023695230	s5-eth4	340644	326243
1787883641.023695230	s6-eth1	741028221	328952
1787883641.023695230	s6-eth2	328882	203029282
1787883641.023695230	s6-eth3	328882	356732475
1787883641.023695230	s6-eth4	340769	328882
1787883641.023695230	s7-eth1	13040066698	17223085693
1787883641.023695230	s7-eth2	52942578	22022498970
1787883641.023695230	s7-eth3	28223041098	51705744
1787883641.023695230	s7-eth4	340546	328882
1787883641.023695230	s8-eth1	328882	328882
1787883641.023695230	s8-eth2	326040	328882
1787883641.023695230	s8-eth3	328882	326243
1787883641.023695230	s8-eth4	340644	328882
1787883641.023695230	s9-eth1	28836292097	51701192
1787883641.023695230	s9-eth2	356732475	328882
1787883641.023695230	s9-eth3	51705744	28223041098
1787883641.023695230	s9-eth4	326243	328882
1787883643.725380222	s10-eth1	326243	340644
1787883643.725380222	s10-eth2	328882	340769
1787883643.725380222	s10-eth3	328882	340546
1787883643.725380222	s10-eth4	328882	340644
1787883643.725380222	s1-eth1	56280374	37900223767
1787883643.725380222	s1-eth10	59990179	1069639
1787883643.725380222	s1-eth11	3537115518	576307
1787883643.725380222	s1-eth12	273630207	712999
1787883643.725380222	s1-eth13	32263380	291622
1787883643.725380222	s1-eth14	286050516	953997
1787883643.725380222	s1-eth15	2482167033	2384097
1787883643.725380222	s1-eth16	398011456	2838894
1787883643.725380222	s1-eth17	157516563	2443991
1787883643.725380222	s1-eth18	218881062	13374
1787883643.725380222	s1-eth19	11021828940	951909
1787883643.725380222	s1-eth2	328952	741028221
1787883643.725380222	s1-eth20	361408621	1718654
1787883643.725380222	s1-eth21	438727360	3168393
1787883643.725380222	s1-eth22	95067445	1162486
1787883643.725380222	s1-eth23	2599996371	1340887
1787883643.725380222	s1-eth24	304136631	1129890
1787883643.725380222	s1-eth25	233511141	3338885
1787883643.725380222	s1-eth26	373337208	2058059
1787883643.725380222	s1-eth27	2696204707	2047455
1787883643.725380222	s1-eth28	140313980	2170075
1787883643.725380222	s1-eth29	68933701	1126957
1787883643.725380222	s1-eth3	11494259150	5398302
1787883643.725380222	s1-eth30	92546709	1435430
1787883643.725380222	s1-eth31	2546629004	719661
1787883643.725380222	s1-eth32	356884163	1877660
1787883643.725380222	s1-eth33	163570714	2480508
1787883643.725380222	s1-eth34	107448601	1618049
1787883643.725380222	s1-eth4	319365135	1456498
1787883643.725380222	s1-eth5	328675673	1653647
1787883643.725380222	s1-eth6	331853306	1777145
1787883643.725380222	s1-eth7	2702084191	2673828
1787883643.725380222	s1-eth8	356391073	2008374
1787883643.725380222	s1-eth9	121900491	1717264
1787883643.725380222	s2-eth1	17584739512	12210954158
1787883643.725380222	s2-eth10	291091109	1001837
1787883643.725380222	s2-eth11	3592586219	2630476
1787883643.725380222	s2-eth12	60617090	1073903
1787883643.725380222	s2-eth13	88399371	1156631
1787883643.725380222	s2-eth14	68585079	909927
1787883643.725380222	s2-eth15	2437743580	2006713
1787883643.725380222	s2-eth16	374887300	2232042
1787883643.725380222	s2-eth17	362388078	2122637
1787883643.725380222	s2-eth18	248788387	545334
1787883643.725380222	s2-eth19	943754	8406702389
1787883643.725380222	s2-eth2	203029282	328882
1787883643.725380222	s2-eth20	1712234	198701421
1787883643.725380222	s2-eth21	3161818	268425274
1787883643.725380222	s2-eth22	1155040	79628867
1787883643.725380222	s2-eth23	1332791	2331293265
1787883643.725380222	s2-eth24	1122029	134702630
1787883643.725380222	s2-eth25	3333388	215150806
1787883643.725380222	s2-eth26	2050782	202385535
1787883643.725380222	s2-eth27	2039189	2425581389
1787883643.725380222	s2-eth28	2163762	133532530
1787883643.725380222	s2-eth29	1118908	66482452
1787883643.725380222	s2-eth3	1549169285	839387
1787883643.725380222	s2-eth30	1427897	88521408
1787883643.725380222	s2-eth31	711887	2280118679
1787883643.725380222	s2-eth32	1869414	194886839
1787883643.725380222	s2-eth33	2476400	156934789
1787883643.725380222	s2-eth34	1610667	90159031
1787883643.725380222	s2-eth4	266867004	594971
1787883643.725380222	s2-eth5	432472342	3173326
1787883643.725380222	s2-eth6	377976195	2270965
1787883643.725380222	s2-eth7	2604179570	905227
1787883643.725380222	s2-eth8	296080009	1074834
1787883643.725380222	s2-eth9	304364878	1111578
1787883643.725380222	s3-eth1	17223085693	13040066698
1787883643.725380222	s3-eth10	1064032	56555514
1787883643.725380222	s3-eth11	569954	2353028655
1787883643.725380222	s3-eth12	704215	87830439
1787883643.725380222	s3-eth13	282799	17392742
1787883643.725380222	s3-eth14	945952	98112439
1787883643.725380222	s3-eth15	2377912	2187377677
1787883643.725380222	s3-eth16	2834288	202582223
1787883643.725380222	s3-eth17	2442864	137392634
1787883643.725380222	s3-eth18	4572	47644697
1787883643.725380222	s3-eth19	1557550936	863256
1787883643.725380222	s3-eth2	328882	328882
1787883643.725380222	s3-eth20	405363506	2317159
1787883643.725380222	s3-eth21	270269288	539330
1787883643.725380222	s3-eth22	361345624	1821767
1787883643.725380222	s3-eth23	2665400025	1649144
1787883643.725380222	s3-eth24	363181229	1925293
1787883643.725380222	s3-eth25	401511469	2284545
1787883643.725380222	s3-eth26	294234363	819537
1787883643.725380222	s3-eth27	3653660809	2018443
1787883643.725380222	s3-eth28	260928103	3352437
1787883643.725380222	s3-eth29	183239937	2151139
1787883643.725380222	s3-eth3	5393074	8655026210
1787883643.725380222	s3-eth30	241185674	3329619
1787883643.725380222	s3-eth31	2609184675	1526698
1787883643.725380222	s3-eth32	162797008	2201571
1787883643.725380222	s3-eth33	138615687	1664215
1787883643.725380222	s3-eth34	48326776	537880
1787883643.725380222	s3-eth4	1449923	134548160
1787883643.725380222	s3-eth5	1647204	142694381
1787883643.725380222	s3-eth6	1771982	142824592
1787883643.725380222	s3-eth7	2670952	2350019437
1787883643.725380222	s3-eth8	2002719	169818819
1787883643.725380222	s3-eth9	1711024	104126086
1787883643.725380222	s4-eth1	22022498970	52942578
1787883643.725380222	s4-eth10	994626	112155233
1787883643.725380222	s4-eth11	2627846	2700701877
1787883643.725380222	s4-eth12	1070601	58694915
1787883643.725380222	s4-eth13	1156872	74951174
1787883643.725380222	s4-eth14	908451	53388282
1787883643.725380222	s4-eth15	2007337	2290255911
1787883643.725380222	s4-eth16	2240891	192201822
1787883643.725380222	s4-eth17	2124333	179570104
1787883643.725380222	s4-eth18	536711	80228111
1787883643.725380222	s4-eth19	854718	973021313
1787883643.725380222	s4-eth2	328882	326040
1787883643.725380222	s4-eth20	2331696	291470847
1787883643.725380222	s4-eth21	546752	158982302
1787883643.725380222	s4-eth22	1818077	247817400
1787883643.725380222	s4-eth23	1656276	2596858780
1787883643.725380222	s4-eth24	1931047	257928961
1787883643.725380222	s4-eth25	2285799	285753451
1787883643.725380222	s4-eth26	813333	179424507
1787883643.725380222	s4-eth27	2028995	3015875748
1787883643.725380222	s4-eth28	3361554	246529400
1787883643.725380222	s4-eth29	2158359	170798174
1787883643.725380222	s4-eth3	832009	709426164
1787883643.725380222	s4-eth30	3346036	225826220
1787883643.725380222	s4-eth31	1538815	2558966052
1787883643.725380222	s4-eth32	2205196	149436644
1787883643.725380222	s4-eth33	1662105	127432971
1787883643.725380222	s4-eth34	529892	38543083
1787883643.725380222	s4-eth4	587134	89619478
1787883643.725380222	s4-eth5	3177797	250377264
1787883643.725380222	s4-eth6	2274812	197992934
1787883643.725380222	s4-eth7	904995	2449342046
1787883643.725380222	s4-eth8	1075549	116759617
1787883643.725380222	s4-eth9	1109448	124498251
1787883643.725380222	s5-eth1	37900223767	56280374
1787883643.725380222	s5-eth2	12210954158	17584739512
1787883643.725380222	s5-eth3	51701192	28836292097
1787883643.725380222	s5-eth4	340644	326243
1787883643.725380222	s6-eth1	741028221	328952
1787883643.725380222	s6-eth2	328882	203029282
1787883643.725380222	s6-eth3	328882	356732475
1787883643.725380222	s6-eth4	340769	328882
1787883643.725380222	s7-eth1	13040066698	17223085693
1787883643.725380222	s7-eth2	52942578	22022498970
1787883643.725380222	s7-eth3	28223041098	51705744
1787883643.725380222	s7-eth4	340546	328882
1787883643.725380222	s8-eth1	328882	328882
1787883643.725380222	s8-eth2	326040	328882
1787883643.725380222	s8-eth3	328882	326243
1787883643.725380222	s8-eth4	340644	328882
1787883643.725380222	s9-eth1	28836292097	51701192
1787883643.725380222	s9-eth2	356732475	328882
1787883643.725380222	s9-eth3	51705744	28223041098
1787883643.725380222	s9-eth4	326243	328882
1787883646.043962798	s10-eth1	326270	340672
1787883646.043962798	s10-eth2	328909	340797
1787883646.043962798	s10-eth3	328909	340574
1787883646.043962798	s10-eth4	328909	340672
1787883646.043962798	s1-eth1	56280401	37900223794
1787883646.043962798	s1-eth10	59990179	1069639
1787883646.043962798	s1-eth11	3537115518	576307
1787883646.043962798	s1-eth12	273630207	712999
1787883646.043962798	s1-eth13	32263380	291622
1787883646.043962798	s1-eth14	286050516	953997
1787883646.043962798	s1-eth15	2482167033	2384097
1787883646.043962798	s1-eth16	398011456	2838894
1787883646.043962798	s1-eth17	157516563	2443991
1787883646.043962798	s1-eth18	218881062	13374
1787883646.043962798	s1-eth19	11021828940	951909
1787883646.043962798	s1-eth2	328979	741028248
1787883646.043962798	s1-eth20	361408621	1718654
1787883646.043962798	s1-eth21	438727360	3168393
1787883646.043962798	s1-eth22	95067445	1162486
1787883646.043962798	s1-eth23	2599996371	1340887
1787883646.043962798	s1-eth24	304136631	1129890
1787883646.043962798	s1-eth25	233511141	3338885
1787883646.043962798	s1-eth26	373337208	2058059
1787883646.043962798	s1-eth27	2696204707	2047455
1787883646.043962798	s1-eth28	140313980	2170075
1787883646.043962798	s1-eth29	68933701	1126957
1787883646.043962798	s1-eth3	11494259150	5398302
1787883646.043962798	s1-eth30	92546709	1435430
1787883646.043962798	s1-eth31	2546629004	719661
1787883646.043962798	s1-eth32	356884163	1877660
1787883646.043962798	s1-eth33	163570714	2480508
1787883646.043962798	s1-eth34	107448601	1618049
1787883646.043962798	s1-eth4	319365135	1456498
1787883646.043962798	s1-eth5	328675673	1653647
1787883646.043962798	s1-eth6	331853306	1777145
1787883646.043962798	s1-eth7	2702084191	2673828
